ColumnHeader,Measurement,Treatment,Block,Sensor,Units,Summary,SDIport,SDIaddress
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
"CS650(1,1)",VolumetricWaterContent,TopSoil_0,1,1,mm3/mm3,Samp,1,0
"CS650(1,2)",ElectricalConductivity,TopSoil_0,1,1,dS/m,Samp,1,0
"CS650(1,3)",Temperature,TopSoil_0,1,1,oC,Samp,1,0
"CS650(1,4)",Permittivity,TopSoil_0,1,1,-,Samp,1,0
"CS650(1,5)",Period,TopSoil_0,1,1,uSec,Samp,1,0
"CS650(1,6)",VoltageRatio,TopSoil_0,1,1,-,Samp,1,0
"CS650(2,1)",VolumetricWaterContent,Gravel,1,2,mm3/mm3,Samp,1,1
"CS650(2,2)",ElectricalConductivity,Gravel,1,2,dS/m,Samp,1,1
"CS650(2,3)",Temperature,Gravel,1,2,oC,Samp,1,1
"CS650(2,4)",Permittivity,Gravel,1,2,-,Samp,1,1
"CS650(2,5)",Period,Gravel,1,2,uSec,Samp,1,1
"CS650(2,6)",VoltageRatio,Gravel,1,2,-,Samp,1,1
"CS650(3,1)",VolumetricWaterContent,TopSoil_30,1,3,mm3/mm3,Samp,1,2
"CS650(3,2)",ElectricalConductivity,TopSoil_30,1,3,dS/m,Samp,1,2
"CS650(3,3)",Temperature,TopSoil_30,1,3,oC,Samp,1,2
"CS650(3,4)",Permittivity,TopSoil_30,1,3,-,Samp,1,2
"CS650(3,5)",Period,TopSoil_30,1,3,uSec,Samp,1,2
"CS650(3,6)",VoltageRatio,TopSoil_30,1,3,-,Samp,1,2
"CS650(4,1)",VolumetricWaterContent,TopSoil_50,1,4,mm3/mm3,Samp,1,3
"CS650(4,2)",ElectricalConductivity,TopSoil_50,1,4,dS/m,Samp,1,3
"CS650(4,3)",Temperature,TopSoil_50,1,4,oC,Samp,1,3
"CS650(4,4)",Permittivity,TopSoil_50,1,4,-,Samp,1,3
"CS650(4,5)",Period,TopSoil_50,1,4,uSec,Samp,1,3
"CS650(4,6)",VoltageRatio,TopSoil_50,1,4,-,Samp,1,3
"CS650(5,1)",VolumetricWaterContent,SubSoil,1,5,mm3/mm3,Samp,1,4
"CS650(5,2)",ElectricalConductivity,SubSoil,1,5,dS/m,Samp,1,4
"CS650(5,3)",Temperature,SubSoil,1,5,oC,Samp,1,4
"CS650(5,4)",Permittivity,SubSoil,1,5,-,Samp,1,4
"CS650(5,5)",Period,SubSoil,1,5,uSec,Samp,1,4
"CS650(5,6)",VoltageRatio,SubSoil,1,5,-,Samp,1,4
"CS650(6,1)",VolumetricWaterContent,TopSoil_50,2,6,mm3/mm3,Samp,1,5
