Date,ET,Radn,MinT,MaxT,VP,WindRun,Rain
2015-06-01,1.62,6.5,7,18.7,1.08,442,0
2015-06-02,0.57,3.6,10.3,14.8,1.33,500,0
2015-06-03,0.26,2.5,7.4,11.8,1.12,287,10.9
2015-06-04,0.36,3.9,1.1,9,0.83,600,5.3
2015-06-05,0.25,4.1,-2.2,8.7,0.71,196,4.7
2015-06-06,0.15,6.3,-2.4,9.1,0.73,123,0
2015-06-07,0.58,6.7,1.6,13.5,0.87,255,0
2015-06-08,1.67,6.4,6,17.8,0.92,411,0
2015-06-09,3.09,2.6,13.7,19.6,1.04,570,0
2015-06-10,1.44,6.5,7.7,16.6,0.97,399,0
2015-06-11,0.54,6.1,0.2,10.7,0.69,208,0
2015-06-12,2.05,4,1.1,18.1,0.76,455,1.3
2015-06-13,0.71,5.3,-0.7,12.6,0.72,253,0
2015-06-14,0.37,5.8,2.9,12.7,0.91,194,0
2015-06-15,0.79,4.2,3,9.4,0.7,321,4.5
2015-06-16,0.63,6,-0.9,10.9,0.68,284,0
2015-06-17,1.33,6.2,-1.8,13.1,0.61,402,0
2015-06-18,1.81,1.6,1.7,17.2,0.79,423,15.1
2015-06-19,0.06,2.5,1,6.5,0.77,160,18.4
2015-06-20,0.18,3.9,3.6,9.4,0.89,203,1.6
2015-06-21,0.87,6.5,1.7,13.3,0.78,323,0
2015-06-22,0.57,2.6,2,5.3,0.69,621,5.4
2015-06-23,0.17,6.4,-3.1,7.3,0.63,171,0
2015-06-24,0.2,4.1,-2.5,6.9,0.65,208,0
2015-06-25,0.53,5.7,-3.9,12.8,0.64,133,0
2015-06-26,1.46,6,-0.5,17.4,0.76,356,8
2015-06-27,0.47,6.1,-1.3,10.3,0.69,239,0
2015-06-28,1.22,6.4,-1.7,17.3,0.75,294,0
2015-06-29,1.77,4.7,4.6,18.5,0.84,365,0
2015-06-30,0.98,6,1.3,14.7,0.83,359,0
2015-07-01,0.74,2.5,6,12.1,0.9,282,0
2015-07-02,0.91,5.7,5.2,12.9,0.89,382,0
2015-07-03,1.01,2.4,5.5,14.1,0.94,378,0.3
2015-07-04,0.32,6.6,2.7,10.1,0.88,383,0
2015-07-05,1.33,5.6,2.6,16.6,0.88,393,0
2015-07-06,0.6,6.5,-0.4,11.3,0.72,261,0
2015-07-07,0.6,5.2,-2.2,7.8,0.55,225,0
2015-07-08,1.15,4.8,0.1,7.6,0.61,619,8.5
2015-07-09,0.31,3.2,2.3,6.6,0.78,534,6.9
2015-07-10,0.29,4.3,-2.2,8.6,0.72,289,2.3
2015-07-11,0.24,7.5,-4.9,7.5,0.57,95,0
2015-07-12,0.28,7.6,-6.2,8.3,0.57,103,0
2015-07-13,0.16,7.3,-4.2,9.7,0.78,415,0.1
2015-07-14,1.22,5.1,3.2,12,0.78,475,0
2015-07-15,1.27,2.7,9.2,13.7,1.02,460,0
2015-07-16,0.16,2.9,4.7,10.4,1.01,252,3
2015-07-17,0.19,4.4,2.5,10.4,0.93,198,0
2015-07-18,0.4,1.4,2.7,7.6,0.8,437,7.4
2015-07-19,1.59,6.5,0.1,9.5,0.6,615,0
2015-07-20,0.89,4.4,-2,9.3,0.63,402,0
2015-07-21,0.68,4.2,-1.3,12.3,0.7,169,0
2015-07-22,0.72,6,1.2,13.8,0.82,171,0
2015-07-23,0.76,7.5,2.5,12.6,0.93,458,0
2015-07-24,0.71,7.1,1.4,13.7,0.9,263,0
2015-07-25,1.07,7.9,7.3,11.3,1,655,0
2015-07-26,2.46,7,6.8,20.2,0.9,425,0
2015-07-27,1.22,4.3,5.4,16.4,1.02,366,1.9
2015-07-28,0.74,6.4,4.6,14.1,1.02,280,6
2015-07-29,1.02,7.6,1.7,11.3,0.81,478,0.2
2015-07-30,0.68,8.5,-2.5,10.2,0.67,201,0
2015-07-31,0.95,7.6,1.9,11.5,0.8,348,0
2015-08-01,0.76,5.6,3.6,13,0.95,318,0
2015-08-02,1.86,7.1,5.7,18.7,0.96,351,0
2015-08-03,2.14,7.3,5.5,21.4,1.09,405,0
2015-08-04,1.8,8.4,2.6,19.5,0.99,365,0
2015-08-05,0.93,9.5,-0.8,11.6,0.79,362,0
2015-08-06,1.08,8.1,-0.2,13,0.69,193,0
2015-08-07,0.85,7.8,0.2,11.6,0.81,316,0.4
2015-08-08,1.03,9.3,0,8.9,0.7,432,11.9
2015-08-09,0.61,6.1,-1.9,6.3,0.63,326,4.6
2015-08-10,0.89,7.5,1.2,7.6,0.69,372,1.1
2015-08-11,0.77,10.1,-1.5,8.8,0.65,138,0
2015-08-12,0.67,8,0.5,8.2,0.74,259,0
2015-08-13,1.45,9.3,5.6,12,0.95,613,0.3
2015-08-14,1.05,4.5,9.2,11.3,1.1,705,0.1
2015-08-15,0.69,4.8,9.5,12.3,1.22,544,8.5
2015-08-16,0.58,3,5.3,10.3,0.97,466,3
2015-08-17,1.08,11.2,0,12.3,0.88,379,0
2015-08-18,1.82,5.2,6.7,16.5,0.92,359,0
2015-08-19,1.12,8.8,4.6,13.6,0.95,213,0.2
2015-08-20,1.22,10.8,-0.8,11.7,0.74,261,0
2015-08-21,1.24,11.9,-2.4,12.6,0.74,201,0
2015-08-22,1.13,11.9,0,12,0.86,292,0
2015-08-23,1.68,12.9,-2.2,15.3,0.76,228,0.1
2015-08-24,1.47,6.8,1.8,15.7,0.86,280,0
2015-08-25,0.56,5.4,0.8,8.6,0.81,327,0.9
2015-08-26,1.1,9.6,-0.7,11.2,0.79,306,0
2015-08-27,1.42,13.1,0.5,11.5,0.83,377,0
2015-08-28,0.21,3.7,-1.8,7.6,0.8,136,0
2015-08-29,0.62,3.4,2.7,12.3,0.97,336,2
2015-08-30,0.21,3,3.2,9.5,0.98,289,0.3
2015-08-31,0.67,6.2,4.3,8.4,0.86,181,0
2015-09-01,0.48,3.5,2,10,0.9,357,1.8
2015-09-02,2.26,9.2,5.8,17.8,0.98,370,0
2015-09-03,1.34,10,4.2,11.1,0.93,482,0.1
2015-09-04,1.1,5.4,2.2,10.4,0.79,374,0.1
2015-09-05,3.02,11.9,2.4,17.8,0.79,448,0.6
2015-09-06,2.34,14,1,10.2,0.65,524,1.2
2015-09-07,2.83,14.4,1.4,10.9,0.65,651,0
2015-09-08,1.75,15.9,-2.6,11.7,0.71,225,0
