Sensor,Depth,Gravels,Stones,Horizon
1,D1,Shallow,VeryStony,TopSoil_50
2,D2,Shallow,VeryStony,TopSoil_50
3,D3,Shallow,VeryStony,Gravel
4,D4,Shallow,VeryStony,Gravel
5,D1,Shallow,StoneFree,TopSoil_0
6,D2,Shallow,StoneFree,TopSoil_0
7,D3,Shallow,StoneFree,Gravel
8,D4,Shallow,StoneFree,Gravel
9,D1,Shallow,Stony,TopSoil_30
10,D2,Shallow,Stony,TopSoil_30
11,D3,Shallow,Stony,Gravel
12,D4,Shallow,Stony,Gravel
13,D1,Deep,VeryStony,TopSoil_50
14,D2,Deep,VeryStony,TopSoil_50
15,D3,Deep,VeryStony,SubSoil_50
16,D4,Deep,VeryStony,SubSoil_50
17,D1,Deep,Stony,TopSoil_30
18,D2,Deep,Stony,TopSoil_30
19,D3,Deep,Stony,SubSoil_30
20,D4,Deep,Stony,SubSoil_30
21,D1,Deep,StoneFree,TopSoil_0
22,D2,Deep,StoneFree,TopSoil_0
23,D3,Deep,StoneFree,SubSoil_0
24,D4,Deep,StoneFree,SubSoil_0
25,D1,Shallow,StoneFree,TopSoil_0
26,D2,Shallow,StoneFree,TopSoil_0
27,D3,Shallow,StoneFree,Gravel
28,D4,Shallow,StoneFree,Gravel
29,D1,Deep,Stony,TopSoil_30
30,D2,Deep,Stony,TopSoil_30
31,D3,Deep,Stony,SubSoil_30
32,D4,Deep,Stony,SubSoil_30
33,D1,Shallow,VeryStony,TopSoil_50
34,D2,Shallow,VeryStony,TopSoil_50
35,D3,Shallow,VeryStony,Gravel
36,D4,Shallow,VeryStony,Gravel
37,D1,Deep,StoneFree,TopSoil_0
38,D2,Deep,StoneFree,TopSoil_0
39,D3,Deep,StoneFree,SubSoil_0
40,D4,Deep,StoneFree,SubSoil_0
41,D1,Deep,VeryStony,TopSoil_50
42,D2,Deep,VeryStony,TopSoil_50
43,D3,Deep,VeryStony,SubSoil_50
44,D4,Deep,VeryStony,SubSoil_50
45,D1,Shallow,Stony,TopSoil_30
46,D2,Shallow,Stony,TopSoil_30
47,D3,Shallow,Stony,Gravel
48,D4,Shallow,Stony,Gravel
49,D1,Deep,Stony,TopSoil_30
50,D2,Deep,Stony,TopSoil_30
51,D3,Deep,Stony,SubSoil_30
52,D4,Deep,Stony,SubSoil_30
53,D1,Shallow,StoneFree,TopSoil_0
54,D2,Shallow,StoneFree,TopSoil_0
55,D3,Shallow,StoneFree,Gravel
56,D4,Shallow,StoneFree,Gravel
57,D1,Deep,VeryStony,TopSoil_50
58,D2,Deep,VeryStony,TopSoil_50
59,D3,Deep,VeryStony,SubSoil_50
60,D4,Deep,VeryStony,SubSoil_50
61,D1,Shallow,VeryStony,TopSoil_50
62,D2,Shallow,VeryStony,TopSoil_50
63,D3,Shallow,VeryStony,Gravel
64,D4,Shallow,VeryStony,Gravel
65,D1,Shallow,Stony,TopSoil_30
66,D2,Shallow,Stony,TopSoil_30
67,D3,Shallow,Stony,Gravel
68,D4,Shallow,Stony,Gravel
69,D1,Deep,StoneFree,TopSoil_0
70,D2,Deep,StoneFree,TopSoil_0
71,D3,Deep,StoneFree,SubSoil_0
72,D4,Deep,StoneFree,SubSoil_0
73,D1,Deep,Stony,TopSoil_30
74,D2,Deep,Stony,TopSoil_30
75,D3,Deep,Stony,SubSoil_30
76,D4,Deep,Stony,SubSoil_30
77,D1,Shallow,StoneFree,TopSoil_0
78,D2,Shallow,StoneFree,TopSoil_0
79,D3,Shallow,StoneFree,Gravel
80,D4,Shallow,StoneFree,Gravel
81,D1,Shallow,VeryStony,TopSoil_50
82,D2,Shallow,VeryStony,TopSoil_50
83,D3,Shallow,VeryStony,Gravel
84,D4,Shallow,VeryStony,Gravel
85,D1,Shallow,Stony,TopSoil_30
86,D2,Shallow,Stony,TopSoil_30
87,D3,Shallow,Stony,Gravel
88,D4,Shallow,Stony,Gravel
89,D1,Deep,StoneFree,TopSoil_0
90,D2,Deep,StoneFree,TopSoil_0
91,D3,Deep,StoneFree,SubSoil_0
92,D4,Deep,StoneFree,SubSoil_0
93,D1,Deep,VeryStony,TopSoil_50
94,D2,Deep,VeryStony,TopSoil_50
95,D3,Deep,VeryStony,SubSoil_50
96,D4,Deep,VeryStony,SubSoil_50
