ColumnHeader,Measurement,Gravels,Stones,Treatment,Depth,Column,Block,Sensor,Units,Summary,MUX,Port
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
"CS650(1,1)",VolumetricWaterContent,Shallow,VeryStony,F,D1,1,1,S_1,mm3/mm3,Samp,1,1
"CS650(1,2)",ElectricalConductivity,Shallow,VeryStony,F,D1,1,1,S_1,dS/m,Samp,1,1
"CS650(1,3)",Temperature,Shallow,VeryStony,F,D1,1,1,S_1,oC,Samp,1,1
"CS650(1,4)",Permittivity,Shallow,VeryStony,F,D1,1,1,S_1,-,Samp,1,1
"CS650(1,5)",Period,Shallow,VeryStony,F,D1,1,1,S_1,uSec,Samp,1,1
"CS650(1,6)",VoltageRatio,Shallow,VeryStony,F,D1,1,1,S_1,-,Samp,1,1
"CS650(2,1)",VolumetricWaterContent,Shallow,VeryStony,F,D2,1,1,S_2,mm3/mm3,Samp,1,2
"CS650(2,2)",ElectricalConductivity,Shallow,VeryStony,F,D2,1,1,S_2,dS/m,Samp,1,2
"CS650(2,3)",Temperature,Shallow,VeryStony,F,D2,1,1,S_2,oC,Samp,1,2
"CS650(2,4)",Permittivity,Shallow,VeryStony,F,D2,1,1,S_2,-,Samp,1,2
"CS650(2,5)",Period,Shallow,VeryStony,F,D2,1,1,S_2,uSec,Samp,1,2
"CS650(2,6)",VoltageRatio,Shallow,VeryStony,F,D2,1,1,S_2,-,Samp,1,2
"CS650(3,1)",VolumetricWaterContent,Shallow,VeryStony,F,D3,1,1,S_3,mm3/mm3,Samp,1,3
"CS650(3,2)",ElectricalConductivity,Shallow,VeryStony,F,D3,1,1,S_3,dS/m,Samp,1,3
"CS650(3,3)",Temperature,Shallow,VeryStony,F,D3,1,1,S_3,oC,Samp,1,3
"CS650(3,4)",Permittivity,Shallow,VeryStony,F,D3,1,1,S_3,-,Samp,1,3
"CS650(3,5)",Period,Shallow,VeryStony,F,D3,1,1,S_3,uSec,Samp,1,3
"CS650(3,6)",VoltageRatio,Shallow,VeryStony,F,D3,1,1,S_3,-,Samp,1,3
"CS650(4,1)",VolumetricWaterContent,Shallow,VeryStony,F,D4,1,1,S_4,mm3/mm3,Samp,1,4
"CS650(4,2)",ElectricalConductivity,Shallow,VeryStony,F,D4,1,1,S_4,dS/m,Samp,1,4
"CS650(4,3)",Temperature,Shallow,VeryStony,F,D4,1,1,S_4,oC,Samp,1,4
"CS650(4,4)",Permittivity,Shallow,VeryStony,F,D4,1,1,S_4,-,Samp,1,4
"CS650(4,5)",Period,Shallow,VeryStony,F,D4,1,1,S_4,uSec,Samp,1,4
"CS650(4,6)",VoltageRatio,Shallow,VeryStony,F,D4,1,1,S_4,-,Samp,1,4
"CS650(5,1)",VolumetricWaterContent,Shallow,StoneFree,D,D1,2,1,S_5,mm3/mm3,Samp,1,5
"CS650(5,2)",ElectricalConductivity,Shallow,StoneFree,D,D1,2,1,S_5,dS/m,Samp,1,5
