Stones,Gravels,Block,Yield,StrawDM,GrainN,StrawN
StoneFree,Deep,1,8.395974209,13.73603827,192.2678094,112.0586002
StoneFree,Shallow,1,7.584622125,13.89320131,155.1813687,67.85439519
Stony,Deep,1,8.341808801,12.03364159,176.0955838,63.58576214
Stony,Shallow,1,7.854528375,11.30891364,168.7938148,65.88573085
VeryStony,Deep,1,9.279547477,12.15077962,189.0243821,56.7684424
VeryStony,Shallow,1,7.97657236,10.96735072,169.3426312,63.7641771
StoneFree,Deep,2,8.747702176,13.74073169,191.3122466,101.7638589
StoneFree,Shallow,2,9.115156066,13.35006942,197.1608257,75.73494379
Stony,Deep,2,6.717166632,9.644639497,152.0766525,59.62316137
Stony,Shallow,2,8.609650795,11.32022631,180.6304737,55.05026056
VeryStony,Deep,2,10.6237519,13.11125839,207.4818746,54.37238855
VeryStony,Shallow,2,9.814346257,12.67939181,201.4885287,73.65458703
StoneFree,Deep,3,6.187245725,13.82104064,149.6076016,99.00011409
StoneFree,Shallow,3,7.630419832,12.28041776,166.7246733,75.0333525
Stony,Deep,3,7.259905621,12.10717523,152.9662114,56.52840116
Stony,Shallow,3,7.918729519,12.57896144,173.9744875,75.0963998
VeryStony,Deep,3,6.117441962,10.30908407,127.854537,50.9990389
VeryStony,Shallow,3,8.824458393,11.45765752,157.9578052,45.22337422
StoneFree,Deep,4,7.988812785,12.2391769,176.7125388,98.09700287
StoneFree,Shallow,4,6.425920429,12.88884218,120.164712,59.57222854
Stony,Deep,4,7.717272959,13.13618896,152.2617955,65.81230669
Stony,Shallow,4,10.33564769,13.53716784,204.7491808,69.49981969
VeryStony,Deep,4,8.641254186,12.55071203,177.4049484,64.00863134
VeryStony,Shallow,4,8.802233473,13.59525908,186.167238,94.25593121
